"","x"
"1636",110670
"1637",319155
"1638",158667
"1639",327980
"1640",146615
"1641",10299
"1642",160000
"1643",116763
"1644",318170
"1645",281597
"1646",164751
"1647",105758
"1648",325631
"1649",282448
"1650",285874
"1651",108162
"1652",166338
"1653",156393
"1654",281932
"1655",160266
"1656",142725
"1657",109528
"1658",312061
"1659",325076
"1660",284164
"1661",315702
"1662",290080
"1663",110148
"1664",166629
"1665",108016
"1666",285510
"1667",167858
"1668",146203
"1669",298240
"1670",285219
"1671",326976
"1672",298085
"1673",146747
"1674",160354
"1675",27346
"1676",161373
"1677",118364
"1678",315244
"1679",318783
"1680",111234
"1681",117808
"1682",156564
"1683",159892
"1684",106661
"1685",151523
"1686",314594
"1687",322974
"1688",281385
"1689",142150
"1690",110887
"1691",310873
"1692",311902
"1693",288255
"1694",106550
"1695",160276
"1696",114518
"1697",314568
"1698",119342
"1699",327637
"1700",154518
"1701",159118
"1702",217515
"1703",141091
"1704",282311
"1705",327644
"1706",150593
"1707",277149
"1708",291380
"1709",307934
"1710",328320
"1711",291923
"1712",327699
"1713",316933
"1714",283824
"1715",148406
"1716",137381
"1717",161605
"1718",110876
"1719",289883
"1720",133719
"1721",326421
"1722",149117
"1723",107367
"1724",126266
"1725",277146
"1726",324248
"1727",171351
"1728",300057
"1729",157592
"1730",173728
"1731",135657
"1732",146946
"1733",308154
"1734",3487
"1735",323725
"1736",314442
"1737",315589
"1738",167658
"1739",152012
"1740",148781
"1741",310288
"1742",105729
"1743",298292
"1744",322915
"1745",144474
"1746",169291
"1747",167467
"1748",106793
"1749",175193
"1750",283669
"1751",115167
"1752",325765
"1753",111052
"1754",121299
"1755",122721
"1756",125646
"1757",14455
"1758",105348
"1759",300326
"1760",301105
"1761",306098
"1762",146338
"1763",39163
"1764",326704
"1765",140485
"1766",316743
"1767",152397
"1768",136932
"1769",284925
"1770",291669
"1771",146366
"1772",107066
"1773",316843
"1774",152277
"1775",323692
"1776",110045
"1777",326719
"1778",327880
"1779",110692
"1780",326299
"1781",310163
"1782",281695
"1783",149889
"1784",167517
"1785",139265
"1786",110517
"1787",284987
"1788",46173
"1789",282011
"1790",307187
"1791",310162
"1792",168303
"1793",306491
"1794",109971
"1795",138947
"1796",313015
"1797",323131
"1798",121897
"1799",121254
"1800",166912
"1801",130074
"1802",106275
"1803",137637
"1804",314424
"1805",105022
"1806",317053
"1807",297021
"1808",199
"1809",325366
"1810",153052
"1811",301509
"1812",325990
"1813",288522
"1814",7927
"1815",326816
"1816",160261
"1817",173920
"1818",150570
"1819",322634
"1820",160100
"1821",286567
"1822",282575
"1823",297497
"1824",165132
